Epsilon	Umbral	Etr	Edv
1e-10	0.1	16.3815	17.2 
1e-10	0.2	16.2519	16.9333 
1e-10	0.3	16.1889	16.8333 
1e-10	0.4	16.187	16.7167 
1e-10	0.5	16.1537	16.65 
1e-10	0.6	16.2648	16.6167 
1e-10	0.7	16.6852	17.2 
1e-09	0.1	16.3944	17.2 
1e-09	0.2	16.2593	16.9667 
1e-09	0.3	16.2056	16.85 
1e-09	0.4	16.1981	16.7 
1e-09	0.5	16.1611	16.6833 
1e-09	0.6	16.2833	16.6333 
1e-09	0.7	16.6944	17.2333 
1e-08	0.1	16.4037	17.2333 
1e-08	0.2	16.2704	16.9667 
1e-08	0.3	16.2167	16.8667 
1e-08	0.4	16.2204	16.7 
1e-08	0.5	16.1815	16.7 
1e-08	0.6	16.313	16.6333 
1e-08	0.7	16.713	17.25 
1e-07	0.1	16.4222	17.2333 
1e-07	0.2	16.2907	17.0333 
1e-07	0.3	16.2352	16.8833 
1e-07	0.4	16.2426	16.7667 
1e-07	0.5	16.1944	16.7333 
1e-07	0.6	16.3315	16.7167 
1e-07	0.7	16.7463	17.2667 
1e-06	0.1	16.4426	17.2667 
1e-06	0.2	16.313	17.0667 
1e-06	0.3	16.263	16.9333 
1e-06	0.4	16.2648	16.7833 
1e-06	0.5	16.2278	16.8 
1e-06	0.6	16.3667	16.8 
1e-06	0.7	16.7741	17.3333 
1e-05	0.1	16.4704	17.2833 
1e-05	0.2	16.3407	17.0667 
1e-05	0.3	16.2889	16.9667 
1e-05	0.4	16.2981	16.8333 
1e-05	0.5	16.263	16.8333 
1e-05	0.6	16.4037	16.8167 
1e-05	0.7	16.8111	17.35 
0.0001	0.1	16.5074	17.35 
0.0001	0.2	16.3796	17.1333 
0.0001	0.3	16.3259	17 
0.0001	0.4	16.3315	16.9833 
0.0001	0.5	16.3056	16.9833 
0.0001	0.6	16.463	16.9333 
0.0001	0.7	16.8667	17.4667 
0.001	0.1	16.587	17.4 
0.001	0.2	16.4611	17.2 
0.001	0.3	16.45	17.0833 
0.001	0.4	16.4556	17.1 
0.001	0.5	16.4426	17 
0.001	0.6	16.5667	16.9167 
0.001	0.7	16.9907	17.5667 
0.01	0.1	16.9611	17.9333 
0.01	0.2	16.9074	17.55 
0.01	0.3	16.8333	17.5667 
0.01	0.4	16.8185	17.4667 
0.01	0.5	16.8778	17.5833 
0.01	0.6	17.1	17.55 
0.01	0.7	17.5685	18.2333 
0.1	0.1	18.7593	19.5333 
0.1	0.2	18.7019	19.6833 
0.1	0.3	18.9148	19.4333 
0.1	0.4	19.2037	19.8667 
0.1	0.5	19.5444	20.2667 
0.1	0.6	20.0963	20.7 
0.1	0.7	20.9815	21.7 
