
  Objective value:                              289247.4


                                Variable           Value        Reduced Cost
                          BENEFICIO( P1)        10.00000            0.000000
                          BENEFICIO( P2)        6.000000            0.000000
                          BENEFICIO( P3)        8.000000            0.000000
                          BENEFICIO( P4)        4.000000            0.000000
                          BENEFICIO( P5)        11.00000            0.000000
                          BENEFICIO( P6)        9.000000            0.000000
                          BENEFICIO( P7)        3.000000            0.000000
                   UPRODUCIDAS( ENE, P1)        0.000000            0.000000
                   UPRODUCIDAS( ENE, P2)        0.000000            0.000000
                   UPRODUCIDAS( ENE, P3)        1440.000            0.000000
                   UPRODUCIDAS( ENE, P4)        825.8065            0.000000
                   UPRODUCIDAS( ENE, P5)        3261.935            0.000000
                   UPRODUCIDAS( ENE, P6)        867.0968            0.000000
                   UPRODUCIDAS( ENE, P7)        0.000000            0.000000
                   UPRODUCIDAS( FEB, P1)        404.2105            0.000000
                   UPRODUCIDAS( FEB, P2)        0.000000            0.000000
                   UPRODUCIDAS( FEB, P3)        378.9474            0.000000
                   UPRODUCIDAS( FEB, P4)        0.000000            6.721053
                   UPRODUCIDAS( FEB, P5)        3637.895            0.000000
                   UPRODUCIDAS( FEB, P6)        1212.632            0.000000
                   UPRODUCIDAS( FEB, P7)        0.000000            1.000000
                   UPRODUCIDAS( MAR, P1)        0.000000            1.026316
                   UPRODUCIDAS( MAR, P2)        0.000000            0.000000
                   UPRODUCIDAS( MAR, P3)        1440.000            0.000000
                   UPRODUCIDAS( MAR, P4)        0.000000            11.03684
                   UPRODUCIDAS( MAR, P5)        0.000000            4.052632
                   UPRODUCIDAS( MAR, P6)        1280.000            0.000000
                   UPRODUCIDAS( MAR, P7)        0.000000            2.921053
                   UPRODUCIDAS( ABR, P1)        681.5789            0.000000
                   UPRODUCIDAS( ABR, P2)        50.00000            0.000000
                   UPRODUCIDAS( ABR, P3)        1232.105            0.000000
                   UPRODUCIDAS( ABR, P4)        0.000000            6.721053
                   UPRODUCIDAS( ABR, P5)        3444.211            0.000000
                   UPRODUCIDAS( ABR, P6)        509.7368            0.000000
                   UPRODUCIDAS( ABR, P7)        50.00000            0.000000
                   UPRODUCIDAS( MAY, P1)        0.000000            6.876344
                   UPRODUCIDAS( MAY, P2)        0.000000            12.15625
                   UPRODUCIDAS( MAY, P3)        1440.000            0.000000
                   UPRODUCIDAS( MAY, P4)        412.9032            0.000000
                   UPRODUCIDAS( MAY, P5)        3550.968            0.000000
                   UPRODUCIDAS( MAY, P6)        433.5484            0.000000
                   UPRODUCIDAS( MAY, P7)        0.000000            5.556367
                   UPRODUCIDAS( JUN, P1)        3072.000            0.000000
                   UPRODUCIDAS( JUN, P2)        0.000000            5.784211
                   UPRODUCIDAS( JUN, P3)        0.000000            0.000000
                   UPRODUCIDAS( JUN, P4)        1536.000            0.000000
                   UPRODUCIDAS( JUN, P5)        0.000000            36.20000
                   UPRODUCIDAS( JUN, P6)        0.000000            1.966667
                   UPRODUCIDAS( JUN, P7)        0.000000            34.54561
                     UVENDIDAS( ENE, P1)        0.000000            7.376344
                     UVENDIDAS( ENE, P2)        0.000000            14.67204
                     UVENDIDAS( ENE, P3)        1440.000            0.000000
                     UVENDIDAS( ENE, P4)        825.8065            0.000000
                     UVENDIDAS( ENE, P5)        3261.935            0.000000
                     UVENDIDAS( ENE, P6)        867.0968            0.000000
                     UVENDIDAS( ENE, P7)        0.000000            18.67742
                     UVENDIDAS( FEB, P1)        404.2105            0.000000
                     UVENDIDAS( FEB, P2)        0.000000            2.015789
                     UVENDIDAS( FEB, P3)        378.9474            0.000000
                     UVENDIDAS( FEB, P4)        0.000000           0.5000000
                     UVENDIDAS( FEB, P5)        3637.895            0.000000
                     UVENDIDAS( FEB, P6)        1212.632            0.000000
                     UVENDIDAS( FEB, P7)        0.000000            11.62105
                     UVENDIDAS( MAR, P1)        0.000000            0.000000
                     UVENDIDAS( MAR, P2)        0.000000            1.515789
                     UVENDIDAS( MAR, P3)        1440.000            0.000000
                     UVENDIDAS( MAR, P4)        0.000000            0.000000
                     UVENDIDAS( MAR, P5)        0.000000            0.000000
                     UVENDIDAS( MAR, P6)        1280.000            0.000000
                     UVENDIDAS( MAR, P7)        0.000000            12.12105
                     UVENDIDAS( ABR, P1)        681.5789            0.000000
                     UVENDIDAS( ABR, P2)        0.000000            2.015789
                     UVENDIDAS( ABR, P3)        1232.105            0.000000
                     UVENDIDAS( ABR, P4)        0.000000           0.5000000
                     UVENDIDAS( ABR, P5)        3444.211            0.000000
                     UVENDIDAS( ABR, P6)        509.7368            0.000000
                     UVENDIDAS( ABR, P7)        0.000000            12.62105
                     UVENDIDAS( MAY, P1)        0.000000           0.5000000
                     UVENDIDAS( MAY, P2)        0.000000            2.515789
                     UVENDIDAS( MAY, P3)        1390.000            0.000000
                     UVENDIDAS( MAY, P4)        412.9032            0.000000
                     UVENDIDAS( MAY, P5)        3500.968            0.000000
                     UVENDIDAS( MAY, P6)        383.5484            0.000000
                     UVENDIDAS( MAY, P7)        0.000000            13.12105
                     UVENDIDAS( JUN, P1)        3022.000            0.000000
                     UVENDIDAS( JUN, P2)        0.000000            3.015789
                     UVENDIDAS( JUN, P3)        0.000000           0.5000000
                     UVENDIDAS( JUN, P4)        1486.000            0.000000
                     UVENDIDAS( JUN, P5)        0.000000           0.5000000
                     UVENDIDAS( JUN, P6)        0.000000           0.5000000
                     UVENDIDAS( JUN, P7)        0.000000            13.62105
                        USTOCK( ENE, P1)        0.000000            7.876344
                        USTOCK( ENE, P2)        0.000000            13.15625
                        USTOCK( ENE, P3)        0.000000           0.5000000
                        USTOCK( ENE, P4)        0.000000            0.000000
                        USTOCK( ENE, P5)        0.000000           0.5000000
                        USTOCK( ENE, P6)        0.000000           0.5000000
                        USTOCK( ENE, P7)        0.000000            7.556367
                        USTOCK( FEB, P1)        0.000000           0.5000000
                        USTOCK( FEB, P2)        0.000000            1.000000
                        USTOCK( FEB, P3)        0.000000           0.5000000
